Date,Time,Latitude,Longitude
05-07-2023,08:00,53.55272932571017,10.00889533251003
05-07-2023,09:00,53.55175325899059,10.00527507026481
05-07-2023,10:00,53.55309354076189,10.00944412555554
05-07-2023,11:00,53.60491922819476,9.909500640661655
05-07-2023,12:00,53.69581709620887,9.79007229209858
05-07-2023,13:00,53.82044973880202,9.604158343487285
05-07-2023,14:00,53.84366821037032,9.574891738602496
05-07-2023,15:00,53.94756367601198,9.495322495847054
05-07-2023,16:00,54.04963816783143,9.481031562211385
05-07-2023,17:00,54.12056745743558,9.358550259490821
05-07-2023,18:00,54.18480907357401,9.16831514055637
05-07-2023,19:00,54.20192721217851,9.112710344671266
05-07-2023,20:00,54.20155334653835,9.110458377530493
05-07-2023,21:00,54.20153834707396,9.110539245208843
05-07-2023,22:00,54.20212972671853,9.111589059162197
06-07-2023,08:00,54.20254936912488,9.112311517828248
06-07-2023,09:00,54.20255829585176,9.112306488686345
06-07-2023,10:00,54.19509780133097,9.094296711862992
06-07-2023,11:00,54.29602870471288,9.039930671723718
06-07-2023,12:00,54.3919285918859,9.035916603768086
06-07-2023,13:00,54.47685804688788,9.052375294276562
06-07-2023,14:00,54.51964487097207,9.031342821804573
06-07-2023,15:00,54.65930513494542,8.950069354282206
06-07-2023,16:00,54.78767827804886,8.937564662826279
06-07-2023,17:00,54.89765462193062,8.911983633307294
06-07-2023,18:00,54.94710019741745,8.864909803580922
06-07-2023,19:00,54.95272719567969,8.854446454302495
06-07-2023,20:00,54.95157241048201,8.858379432447848
06-07-2023,21:00,54.95006014851688,8.863707297589006
06-07-2023,22:00,54.94888304999864,8.85727786999338
07-07-2023,08:00,54.95350377173624,8.852065242835183
07-07-2023,09:00,54.95010970269387,8.863541405528929
07-07-2023,10:00,54.93648421326034,8.87019116365205
07-07-2023,11:00,54.96298440394072,8.719121622587972
07-07-2023,12:00,55.05733827868278,8.65107600564491
07-07-2023,13:00,55.1228206229689,8.68140612978652
07-07-2023,14:00,55.27589214163651,8.729129809137715
07-07-2023,15:00,55.30727987465741,8.662782529494036
07-07-2023,16:00,55.38560530110545,8.645870396347371
07-07-2023,17:00,55.46479703454151,8.518736639887516
07-07-2023,18:00,55.46874933415602,8.448892179884433
07-07-2023,19:00,55.5539723626194,8.323887837525438
07-07-2023,20:00,55.55453983140693,8.32334225066781
07-07-2023,21:00,55.55411528850006,8.323988716666051
07-07-2023,22:00,55.55394609858496,8.323821179330835
08-07-2023,08:00,55.5538836541175,8.323712311692837
08-07-2023,09:00,55.55391156585473,8.324279012166265
08-07-2023,10:00,55.55438147735572,8.322976122504503
08-07-2023,11:00,55.59947823179476,8.282479718335235
08-07-2023,12:00,55.61653168024723,8.178001979622364
08-07-2023,13:00,55.72254834993601,8.210451890385396
08-07-2023,14:00,55.8187817039119,8.181285396131774
08-07-2023,15:00,55.81615520646438,8.170942403383711
08-07-2023,16:00,55.84540532864754,8.169983252767759
08-07-2023,17:00,55.93129812279337,8.150471365086874
08-07-2023,18:00,55.99962222033233,8.126226400329095
08-07-2023,19:00,56.08353356274775,8.12031084508912
08-07-2023,20:00,56.12825076798605,8.151804734504584
08-07-2023,21:00,56.14304972175062,8.17653331030561
08-07-2023,22:00,56.14293979486091,8.176523493610487
09-07-2023,08:00,56.13917142642141,8.177501941570799
09-07-2023,09:00,56.13388303093326,8.183245934679405
09-07-2023,10:00,56.2326542800816,8.166614072404956
09-07-2023,11:00,56.3060137793644,8.150640507140238
09-07-2023,12:00,56.38973348798413,8.130700452533505
09-07-2023,13:00,56.4901011753661,8.12185846925682
09-07-2023,14:00,56.57281852332556,8.136889664463826
09-07-2023,15:00,56.68452142277423,8.22435624898246
09-07-2023,16:00,56.70290212938588,8.245693025248034
09-07-2023,17:00,56.76934559741466,8.305038304164011
09-07-2023,18:00,56.87311023876828,8.329515628279287
09-07-2023,19:00,56.9575930514735,8.368102474845866
09-07-2023,20:00,56.95155217783275,8.36839447730069
09-07-2023,21:00,56.96482274221006,8.407457415022336
09-07-2023,22:00,56.97185960762609,8.42132870403791
10-07-2023,08:00,56.97670634654584,8.426392934763578
10-07-2023,09:00,56.97193111262015,8.423766686302395
10-07-2023,10:00,56.97957606446654,8.437227303128424
10-07-2023,11:00,56.98486179775391,8.448069694122067
10-07-2023,12:00,57.03996432484783,8.497933186598585
10-07-2023,13:00,57.0258662570799,8.628821130850007
10-07-2023,14:00,57.09250732044114,8.668467498333309
10-07-2023,15:00,57.04945487290181,8.82756986239934
10-07-2023,16:00,57.12645854727896,8.959009895280921
10-07-2023,17:00,57.13550602618554,9.132048776054241
10-07-2023,18:00,57.13973793206502,9.125620806598223
10-07-2023,19:00,57.13740600278334,9.302061377101859
10-07-2023,20:00,57.18019667040912,9.500695398384559
10-07-2023,21:00,57.18952942089309,9.52799987887804
10-07-2023,22:00,57.18000928307967,9.523454698949285
11-07-2023,08:00,57.17976311227044,9.52312309295826
11-07-2023,09:00,57.22370183031493,9.568640663204095
11-07-2023,10:00,57.29056636193631,9.634736355354081
11-07-2023,11:00,57.37897002143573,9.742216737949979
11-07-2023,12:00,57.49361974956759,9.821546255151391
11-07-2023,13:00,57.57434295890397,9.943881771081218
11-07-2023,14:00,57.59218471970914,9.967050806325723
11-07-2023,15:00,57.59015143206828,9.983995274175474
11-07-2023,16:00,57.59483210747871,9.980371920401213
11-07-2023,17:00,57.6881067656799,9.639906651367156
11-07-2023,18:00,57.92783489456207,8.730413904421711
11-07-2023,19:00,58.12849456192166,8.002418576846511
11-07-2023,20:00,58.1688694918167,8.023833670153344
